('localhost', 5555) is chosen, active connections: [0, 0, 0, 0]
('localhost', 5556) is chosen, active connections: [1, 0, 0, 0]
('localhost', 5557) is chosen, active connections: [1, 1, 0, 0]
('localhost', 5558) is chosen, active connections: [1, 1, 1, 0]
('localhost', 5555) is chosen, active connections: [1, 1, 1, 1]
('localhost', 5556) is chosen, active connections: [2, 1, 1, 1]
('localhost', 5557) is chosen, active connections: [2, 2, 1, 1]
('localhost', 5558) is chosen, active connections: [2, 2, 2, 1]
('localhost', 5555) is chosen, active connections: [1, 2, 2, 2]
('localhost', 5555) is chosen, active connections: [1, 1, 2, 1]
('localhost', 5556) is chosen, active connections: [2, 1, 2, 1]
('localhost', 5558) is chosen, active connections: [2, 2, 2, 1]
('localhost', 5555) is chosen, active connections: [2, 2, 2, 2]
('localhost', 5556) is chosen, active connections: [3, 2, 2, 2]
('localhost', 5557) is chosen, active connections: [2, 3, 1, 2]
('localhost', 5557) is chosen, active connections: [2, 3, 1, 2]
('localhost', 5555) is chosen, active connections: [1, 3, 2, 2]
('localhost', 5558) is chosen, active connections: [2, 2, 2, 1]
('localhost', 5555) is chosen, active connections: [2, 2, 2, 2]
('localhost', 5556) is chosen, active connections: [3, 2, 2, 2]
('localhost', 5557) is chosen, active connections: [3, 3, 2, 2]
('localhost', 5558) is chosen, active connections: [3, 3, 3, 2]
('localhost', 5556) is chosen, active connections: [2, 1, 3, 3]
('localhost', 5558) is chosen, active connections: [2, 2, 2, 1]
('localhost', 5555) is chosen, active connections: [2, 2, 2, 2]
('localhost', 5557) is chosen, active connections: [2, 2, 1, 2]
('localhost', 5555) is chosen, active connections: [2, 2, 2, 2]
('localhost', 5557) is chosen, active connections: [3, 2, 1, 2]
('localhost', 5556) is chosen, active connections: [3, 2, 2, 2]
('localhost', 5558) is chosen, active connections: [2, 3, 2, 1]
('localhost', 5555) is chosen, active connections: [0, 0, 0, 0]
('localhost', 5556) is chosen, active connections: [1, 0, 0, 0]
